Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache;Validity
Aeugst am Albis;8914;0;Aeugst am Albis;1;ZH;8.487911354;47.26870659;de;01.07.2008
Aeugstertal;8914;2;Aeugst am Albis;1;ZH;8.493639301;47.28270771;de;01.07.2008
Zwillikon;8909;0;Affoltern am Albis;2;ZH;8.433816382;47.28957191;de;01.07.2008
Affoltern am Albis;8910;0;Affoltern am Albis;2;ZH;8.45439239;47.27879102;de;01.07.2008
Bonstetten;8906;0;Bonstetten;3;ZH;8.462510333;47.31603645;de;01.07.2008
Sihlbrugg;6340;4;Hausen am Albis;4;ZH;8.575263285;47.221161;de;01.07.2008
Langnau am Albis;8135;0;Hausen am Albis;4;ZH;8.522602733;47.26616249;de;01.07.2008
Hausen am Albis;8915;0;Hausen am Albis;4;ZH;8.533080372;47.24868312;de;01.07.2008
Ebertswil;8925;0;Hausen am Albis;4;ZH;8.553387817;47.22790944;de;01.07.2008
Hedingen;8908;0;Hedingen;5;ZH;8.450402732;47.3023383;de;01.07.2008
Kappel am Albis;8926;0;Kappel am Albis;6;ZH;8.518401273;47.22850465;de;01.07.2008
Hauptikon;8926;2;Kappel am Albis;6;ZH;8.494435214;47.23254735;de;01.07.2008
Uerzlikon;8926;3;Kappel am Albis;6;ZH;8.499050492;47.21811361;de;01.07.2008
Knonau;8934;0;Knonau;7;ZH;8.463070514;47.22429179;de;01.07.2008
Maschwanden;8933;0;Maschwanden;8;ZH;8.430865808;47.23566581;de;01.07.2008
Mettmenstetten;8932;0;Mettmenstetten;9;ZH;8.466212301;47.24873641;de;01.07.2008
Affoltern am Albis;8910;0;Obfelden;10;ZH;8.438566231;47.27137607;de;01.07.2008
Obfelden;8912;0;Obfelden;10;ZH;8.422386634;47.26039752;de;01.07.2008
Ottenbach;8913;0;Ottenbach;11;ZH;8.40857484;47.28107503;de;01.07.2008
Rifferswil;8911;0;Rifferswil;12;ZH;8.49488718;47.24550057;de;01.07.2008
Adliswil;8134;0;Stallikon;13;ZH;8.505877599;47.31210529;de;01.07.2008
Stallikon;8143;0;Stallikon;13;ZH;8.489620691;47.32971316;de;01.07.2008
Uetliberg;8143;2;Stallikon;13;ZH;8.49173569;47.34851184;de;01.07.2008
Wettswil;8907;0;Wettswil am Albis;14;ZH;8.470612515;47.3374022;de;01.07.2008
Benken ZH;8463;0;Benken (ZH);22;ZH;8.654666544;47.65377796;de;01.07.2008
Berg am Irchel;8415;0;Berg am Irchel;23;ZH;8.585741053;47.56297525;de;01.07.2008
Gräslikon;8415;1;Berg am Irchel;23;ZH;8.605113275;47.55600242;de;01.07.2008
Buch am Irchel;8414;0;Buch am Irchel;24;ZH;8.625154489;47.55047881;de;01.07.2008
Dachsen;8447;0;Dachsen;25;ZH;8.624375293;47.66174994;de;01.07.2008
Dorf;8458;0;Dorf;26;ZH;8.649329748;47.57127196;de;01.07.2008
Feuerthalen;8245;0;Feuerthalen;27;ZH;8.64416602;47.68902348;de;01.07.2008
Langwiesen;8246;0;Feuerthalen;27;ZH;8.662656729;47.68335284;de;01.07.2008
Flaach;8416;0;Flaach;28;ZH;8.601940328;47.583402;de;01.07.2008
Flurlingen;8247;0;Flurlingen;29;ZH;8.635510083;47.68360383;de;01.07.2008
Henggart;8444;0;Henggart;31;ZH;8.680830542;47.56038766;de;01.07.2008
Kleinandelfingen;8451;0;Kleinandelfingen;33;ZH;8.684949095;47.60679239;de;01.07.2008
Alten;8453;0;Kleinandelfingen;33;ZH;8.640865573;47.59690262;de;01.07.2008
Oerlingen;8461;0;Kleinandelfingen;33;ZH;8.677585177;47.62323023;de;01.07.2008
Nohl;8212;4;Laufen-Uhwiesen;34;ZH;8.610294829;47.66327006;de;01.07.2008
Uhwiesen;8248;0;Laufen-Uhwiesen;34;ZH;8.65016937;47.66931256;de;01.07.2008
Dachsen;8447;0;Laufen-Uhwiesen;34;ZH;8.61374192;47.67559684;de;01.07.2008
Marthalen;8460;0;Marthalen;35;ZH;8.638588344;47.61833178;de;01.07.2008
Ellikon am Rhein;8464;0;Marthalen;35;ZH;8.6060112;47.60219071;de;01.07.2008
Trüllikon;8466;0;Ossingen;37;ZH;8.689871286;47.62522372;de;01.07.2008
Ossingen;8475;0;Ossingen;37;ZH;8.721858087;47.61132641;de;01.07.2008
Rheinau;8462;0;Rheinau;38;ZH;8.618020226;47.62764126;de;01.07.2008
Ellikon am Rhein;8464;0;Rheinau;38;ZH;8.608697131;47.60357982;de;01.07.2008
Thalheim an der Thur;8478;0;Thalheim an der Thur;39;ZH;8.745260537;47.58200511;de;01.07.2008
Rudolfingen;8465;0;Trüllikon;40;ZH;8.67126389;47.63812496;de;01.07.2008
Wildensbuch;8465;1;Trüllikon;40;ZH;8.679796274;47.65096027;de;01.07.2008
Trüllikon;8466;0;Trüllikon;40;ZH;8.700218444;47.63630001;de;01.07.2008
Truttikon;8467;0;Truttikon;41;ZH;8.729610675;47.63240407;de;01.07.2008
Volken;8459;0;Volken;43;ZH;8.631466248;47.5766261;de;01.07.2008
Bülach;8180;0;Bachenbülach;51;ZH;8.56442171;47.51030825;de;01.07.2008
Bachenbülach;8184;0;Bachenbülach;51;ZH;8.545321773;47.50111302;de;01.07.2008
Bassersdorf;8303;0;Bassersdorf;52;ZH;8.625925501;47.4402101;de;01.07.2008
Bülach;8180;0;Bülach;53;ZH;8.545629419;47.53066414;de;01.07.2008
Glattfelden;8192;0;Bülach;53;ZH;8.524550192;47.54902721;de;01.07.2008
Dietlikon;8305;0;Dietlikon;54;ZH;8.612448141;47.42487909;de;01.07.2008
Dübendorf;8600;0;Dietlikon;54;ZH;8.624613635;47.40826694;de;01.07.2008
Eglisau;8193;0;Eglisau;55;ZH;8.52304829;47.57234106;de;01.07.2008
Rafz;8197;0;Eglisau;55;ZH;8.541636228;47.59116463;de;01.07.2008
Embrach;8424;0;Embrach;56;ZH;8.599599424;47.51005354;de;01.07.2008
Freienstein;8427;2;Freienstein-Teufen;57;ZH;8.596010574;47.53250054;de;01.07.2008
Teufen ZH;8428;0;Freienstein-Teufen;57;ZH;8.573868113;47.55154164;de;01.07.2008
Glattfelden;8192;0;Glattfelden;58;ZH;8.502318141;47.55537025;de;01.07.2008
Zweidlen;8192;1;Glattfelden;58;ZH;8.472620533;47.56722625;de;01.07.2008
Eglisau;8193;0;Glattfelden;58;ZH;8.495676836;47.57888386;de;01.07.2008
Hochfelden;8182;0;Hochfelden;59;ZH;8.508463863;47.52803892;de;01.07.2008
Glattfelden;8192;0;Hochfelden;59;ZH;8.499386932;47.53939418;de;01.07.2008
Höri;8181;0;Höri;60;ZH;8.500889988;47.50803664;de;01.07.2008
Hüntwangen;8194;0;Hüntwangen;61;ZH;8.498233472;47.59304236;de;01.07.2008
Kloten;8302;0;Kloten;62;ZH;8.582091156;47.45875672;de;01.07.2008
Nürensdorf;8309;0;Kloten;62;ZH;8.626374801;47.46300841;de;01.07.2008
Lufingen;8426;0;Lufingen;63;ZH;8.594760719;47.48180331;de;01.07.2008
Nürensdorf;8309;0;Nürensdorf;64;ZH;8.651219194;47.45497197;de;01.07.2008
Oberembrach;8425;0;Oberembrach;65;ZH;8.633535286;47.48957277;de;01.07.2008
Zürich;8052;0;Opfikon;66;ZH;8.562018474;47.41744129;de;01.07.2008
Glattbrugg;8152;0;Opfikon;66;ZH;8.562290913;47.43257737;de;01.07.2008
Opfikon;8152;1;Opfikon;66;ZH;8.582781547;47.42950745;de;01.07.2008
Glattpark (Opfikon);8152;2;Opfikon;66;ZH;8.563608837;47.42083458;de;01.07.2008
Rafz;8197;0;Rafz;67;ZH;8.544794369;47.60824872;de;01.07.2008
Rorbas;8427;3;Rorbas;68;ZH;8.569017301;47.53234251;de;01.07.2008
Teufen ZH;8428;0;Rorbas;68;ZH;8.569678539;47.54321157;de;01.07.2008
Wallisellen;8304;0;Wallisellen;69;ZH;8.596275289;47.42120836;de;01.07.2008
Wasterkingen;8195;0;Wasterkingen;70;ZH;8.471969518;47.59653371;de;01.07.2008
Wil ZH;8196;0;Wasterkingen;70;ZH;8.477909005;47.6103184;de;01.07.2008
Wil ZH;8196;0;Wil (ZH);71;ZH;8.501493934;47.61217952;de;01.07.2008
Rafz;8197;0;Wil (ZH);71;ZH;8.536014126;47.59272753;de;01.07.2008
Bülach;8180;0;Winkel;72;ZH;8.567960555;47.50703317;de;01.07.2008
Winkel;8185;0;Winkel;72;ZH;8.558279067;47.48206541;de;01.07.2008
Bachs;8164;0;Bachs;81;ZH;8.425734543;47.52876406;de;01.07.2008
Boppelsen;8113;0;Boppelsen;82;ZH;8.407193997;47.46994361;de;01.07.2008
Regensberg;8158;0;Boppelsen;82;ZH;8.402681007;47.48150123;de;01.07.2008
Buchs ZH;8107;0;Buchs (ZH);83;ZH;8.440635795;47.45866674;de;01.07.2008
Dällikon;8108;0;Dällikon;84;ZH;8.432374752;47.43900371;de;01.07.2008
Dänikon ZH;8114;0;Dänikon;85;ZH;8.40472268;47.4443546;de;01.07.2008
Dielsdorf;8157;0;Dielsdorf;86;ZH;8.455192104;47.47563224;de;01.07.2008
Hüttikon;8115;0;Hüttikon;87;ZH;8.392296033;47.44110168;de;01.07.2008
Steinmaur;8162;0;Neerach;88;ZH;8.456907337;47.5108346;de;01.07.2008
Bachs;8164;0;Neerach;88;ZH;8.461177225;47.51386685;de;01.07.2008
Neerach;8173;0;Neerach;88;ZH;8.475461452;47.50650239;de;01.07.2008
Stadel b. Niederglatt;8174;0;Neerach;88;ZH;8.473982407;47.52090895;de;01.07.2008
Niederhasli;8155;0;Niederglatt;89;ZH;8.480345882;47.49126852;de;01.07.2008
Niederglatt ZH;8172;0;Niederglatt;89;ZH;8.500823099;47.49192981;de;01.07.2008
Niederhasli;8155;0;Niederhasli;90;ZH;8.486615494;47.47667576;de;01.07.2008
Nassenwil;8155;1;Niederhasli;90;ZH;8.471016354;47.46745304;de;01.11.2012
Oberhasli;8156;0;Niederhasli;90;ZH;8.499283664;47.46063588;de;01.07.2008
Niederweningen;8166;0;Niederweningen;91;ZH;8.374606055;47.49688959;de;01.07.2008
Oberglatt ZH;8154;0;Oberglatt;92;ZH;8.524915084;47.48036222;de;01.07.2008
Siglistorf;5462;0;Oberweningen;93;ZH;8.400753677;47.52759893;de;01.07.2008
Oberweningen;8165;2;Oberweningen;93;ZH;8.405782409;47.50402397;de;01.07.2008
Buchs ZH;8107;0;Otelfingen;94;ZH;8.413565968;47.45559055;de;01.07.2008
Otelfingen;8112;0;Otelfingen;94;ZH;8.384998355;47.46575051;de;01.07.2008
Regensberg;8158;0;Regensberg;95;ZH;8.422876431;47.47567206;de;01.07.2008
Regensdorf;8105;0;Regensdorf;96;ZH;8.465826286;47.43193792;de;01.07.2008
Watt;8105;2;Regensdorf;96;ZH;8.485664013;47.44423327;de;01.07.2008
Adlikon b. Regensdorf;8106;2;Regensdorf;96;ZH;8.459002805;47.45240177;de;01.07.2008
Zürich;8052;0;Rümlang;97;ZH;8.540725263;47.43260378;de;01.07.2008
Glattbrugg;8152;0;Rümlang;97;ZH;8.554663155;47.43353876;de;01.07.2008
Rümlang;8153;0;Rümlang;97;ZH;8.528301568;47.44846392;de;01.07.2008
Schleinikon;8165;3;Schleinikon;98;ZH;8.391127268;47.49436024;de;01.07.2008
Schöfflisdorf;8165;0;Schöfflisdorf;99;ZH;8.420413813;47.49958239;de;01.07.2008
Stadel b. Niederglatt;8174;0;Stadel;100;ZH;8.469859657;47.52699117;de;01.07.2008
Windlach;8175;0;Stadel;100;ZH;8.474257206;47.54779584;de;01.07.2008
Niederhasli;8155;0;Steinmaur;101;ZH;8.474590065;47.49139222;de;01.07.2008
Steinmaur;8162;0;Steinmaur;101;ZH;8.446954293;47.49956675;de;01.07.2008
Sünikon;8162;1;Steinmaur;101;ZH;8.42714275;47.48805705;de;01.05.2011
Weiach;8187;0;Weiach;102;ZH;8.441509116;47.55351887;de;01.07.2008
Hinwil;8340;0;Bäretswil;111;ZH;8.851503983;47.32318064;de;01.07.2008
Bäretswil;8344;0;Bäretswil;111;ZH;8.873942049;47.33611832;de;01.07.2008
Adetswil;8345;0;Bäretswil;111;ZH;8.836701805;47.34256414;de;01.07.2008
Gibswil;8498;0;Bäretswil;111;ZH;8.908900149;47.32025133;de;01.05.2012
Bubikon;8608;0;Bubikon;112;ZH;8.810813149;47.27466398;de;01.07.2008
Wolfhausen;8633;0;Bubikon;112;ZH;8.79803138;47.25843501;de;01.07.2008
